threshold,precision,recall,f1
0.0027,0.5,1.0,0.6667
0.0062,0.5006,1.0,0.6672
0.0068,0.5012,1.0,0.6677
0.0074,0.5018,1.0,0.6682
0.0087,0.5023,1.0,0.6687
0.0128,0.5029,1.0,0.6693
0.0245,0.5035,1.0,0.6698
0.0455,0.5041,1.0,0.6703
0.0456,0.5047,1.0,0.6708
0.0495,0.5053,1.0,0.6714
0.0505,0.5059,1.0,0.6719
0.0542,0.5065,1.0,0.6724
0.0557,0.5071,1.0,0.6729
0.0575,0.5077,1.0,0.6735
0.059,0.5083,1.0,0.674
0.0627,0.5089,1.0,0.6745
0.0639,0.5101,1.0,0.6756
0.0654,0.5107,1.0,0.6761
0.0707,0.5113,1.0,0.6767
0.075,0.5119,1.0,0.6772
0.0757,0.5125,1.0,0.6777
0.079,0.5132,1.0,0.6783
0.0824,0.5138,1.0,0.6788
0.0853,0.5144,1.0,0.6793
0.0865,0.515,1.0,0.6799
0.0866,0.5156,1.0,0.6804
0.0869,0.5162,1.0,0.681
0.0874,0.5169,1.0,0.6815
0.088,0.5175,1.0,0.682
0.0883,0.5181,1.0,0.6826
0.0894,0.5187,1.0,0.6831
0.0905,0.5194,1.0,0.6837
0.0927,0.52,1.0,0.6842
0.0951,0.5206,1.0,0.6848
0.0967,0.5213,1.0,0.6853
0.097,0.5219,1.0,0.6859
0.0998,0.5225,1.0,0.6864
0.1013,0.5232,1.0,0.6869
0.1022,0.5238,1.0,0.6875
0.1029,0.5244,1.0,0.6881
0.1037,0.5251,1.0,0.6886
0.106,0.5257,1.0,0.6892
0.1062,0.5264,1.0,0.6897
0.1069,0.527,1.0,0.6903
0.1072,0.5277,1.0,0.6908
0.1077,0.5283,1.0,0.6914
0.1095,0.529,1.0,0.6919
0.1121,0.5296,1.0,0.6925
0.1126,0.5303,1.0,0.6931
0.1201,0.5309,1.0,0.6936
0.1259,0.5316,1.0,0.6942
0.1283,0.5323,1.0,0.6947
0.1286,0.5329,1.0,0.6953
0.1305,0.5336,1.0,0.6959
0.1309,0.5342,1.0,0.6964
0.1318,0.5349,1.0,0.697
0.1319,0.5356,1.0,0.6976
0.133,0.5362,1.0,0.6981
0.1359,0.5369,1.0,0.6987
0.1362,0.5376,1.0,0.6993
0.1373,0.5383,1.0,0.6998
0.1375,0.5389,1.0,0.7004
0.1397,0.5396,1.0,0.701
0.1401,0.5403,1.0,0.7016
0.1421,0.541,1.0,0.7021
0.1451,0.5417,1.0,0.7027
0.1457,0.5424,1.0,0.7033
0.1465,0.543,1.0,0.7039
0.1485,0.5437,1.0,0.7044
0.1514,0.5444,1.0,0.705
0.1516,0.5451,1.0,0.7056
0.1546,0.5458,1.0,0.7062
0.1557,0.5465,1.0,0.7068
0.157,0.5472,1.0,0.7073
0.1605,0.5479,1.0,0.7079
0.1607,0.5486,1.0,0.7085
0.1644,0.5493,1.0,0.7091
0.165,0.55,1.0,0.7097
0.1667,0.5507,1.0,0.7103
0.1698,0.5514,1.0,0.7109
0.17,0.5521,1.0,0.7114
0.1723,0.5528,1.0,0.712
0.1731,0.5535,1.0,0.7126
0.1779,0.5543,1.0,0.7132
0.1784,0.555,1.0,0.7138
0.1833,0.5557,1.0,0.7144
0.1849,0.5564,1.0,0.715
0.1852,0.5571,1.0,0.7156
0.186,0.5579,1.0,0.7162
0.1863,0.5586,1.0,0.7168
0.1864,0.5593,1.0,0.7174
0.1866,0.5601,1.0,0.718
0.187,0.5608,1.0,0.7186
0.1881,0.5615,1.0,0.7192
0.1886,0.5623,1.0,0.7198
0.189,0.563,1.0,0.7204
0.1892,0.5637,1.0,0.721
0.1906,0.5645,1.0,0.7216
0.1908,0.5652,1.0,0.7222
0.1929,0.566,1.0,0.7228
0.1933,0.5667,1.0,0.7234
0.1944,0.5675,1.0,0.7241
0.1962,0.5682,1.0,0.7247
0.1962,0.569,1.0,0.7253
0.2008,0.5697,1.0,0.7259
0.202,0.5705,1.0,0.7265
0.2026,0.5712,1.0,0.7271
0.203,0.572,1.0,0.7277
0.203,0.5728,1.0,0.7284
0.2035,0.5735,1.0,0.729
0.2039,0.5743,1.0,0.7296
0.2056,0.5751,1.0,0.7302
0.2089,0.5758,1.0,0.7308
0.209,0.5766,1.0,0.7315
0.209,0.5774,1.0,0.7321
0.2093,0.5762,0.9953,0.7299
0.2103,0.577,0.9953,0.7305
0.2107,0.5778,0.9953,0.7312
0.2111,0.5786,0.9953,0.7318
0.2129,0.5794,0.9953,0.7324
0.213,0.5802,0.9953,0.733
