Id;Title;Category;Diagram;Interaction;Priority;State;Changed By;Description;Justification;Last Modified
13;Cross Site Scripting;Tampering;Modèle Réseaux;From IPFS Cluster to ThingsBoard Server via unnamed;High;Not Started;;The web server 'ThingsBoard Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.;;Generated
12;Spoofing of Source Data Store IPFS Cluster;Spoofing;Modèle Réseaux;From IPFS Cluster to ThingsBoard Server via unnamed;High;Not Started;;IPFS Cluster may be spoofed by an attacker and this may lead to incorrect data delivered to ThingsBoard Server. Consider using a standard authentication mechanism to identify the source data store.;;Generated
11;Weak Access Control for a Resource;Information Disclosure;Modèle Réseaux;From Ota sources to ThingsBoard Server via unnamed;High;Not Started;;Improper data protection of Ota sources can allow an attacker to read information not intended for disclosure. Review authorization settings.;;Generated
10;Persistent Cross Site Scripting;Tampering;Modèle Réseaux;From Ota sources to ThingsBoard Server via unnamed;High;Not Started;;The web server 'ThingsBoard Server' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'Ota sources' inputs and output.;;Generated
9;Cross Site Scripting;Tampering;Modèle Réseaux;From Ota sources to ThingsBoard Server via unnamed;High;Not Started;;The web server 'ThingsBoard Server' could be a subject to a cross-site scripting attack because it does not sanitize untrusted input.;;Generated
8;Authenticated Data Flow Compromised;Tampering;Modèle Réseaux;From Ota sources to ThingsBoard Server via unnamed;High;Not Started;;An attacker can read or modify data transmitted over an authenticated dataflow.;;Generated
7;Spoofing of Source Data Store Ota sources;Spoofing;Modèle Réseaux;From Ota sources to ThingsBoard Server via unnamed;High;Not Started;;Ota sources may be spoofed by an attacker and this may lead to incorrect data delivered to ThingsBoard Server. Consider using a standard authentication mechanism to identify the source data store.;;Generated
14;Persistent Cross Site Scripting;Tampering;Modèle Réseaux;From IPFS Cluster to ThingsBoard Server via unnamed;High;Not Started;;The web server 'ThingsBoard Server' could be a subject to a persistent cross-site scripting attack because it does not sanitize data store 'IPFS Cluster' inputs and output.;;Generated
15;Weak Access Control for a Resource;Information Disclosure;Modèle Réseaux;From IPFS Cluster to ThingsBoard Server via unnamed;High;Not Started;;Improper data protection of IPFS Cluster can allow an attacker to read information not intended for disclosure. Review authorization settings.;;Generated
16;Spoofing of Destination Data Store IPFS Cluster;Spoofing;Modèle Réseaux;From ThingsBoard Server to IPFS Cluster via unnamed;High;Not Started;;IPFS Cluster may be spoofed by an attacker and this may lead to data being written to the attacker's target instead of IPFS Cluster. Consider using a standard authentication mechanism to identify the destination data store.;;Generated
17;Potential Excessive Resource Consumption for ThingsBoard Server or IPFS Cluster;Denial Of Service;Modèle Réseaux;From ThingsBoard Server to IPFS Cluster via unnamed;High;Not Started;;Does ThingsBoard Server or IPFS Cluster take explicit steps to control resource consumption? Resource consumption attacks can be hard to deal with, and there are times that it makes sense to let the OS do the job. Be careful that your resource requests don't deadlock, and that they do timeout.;;Generated
18;Spoofing the ThingsBoard Server Process;Spoofing;Modèle Réseaux;HTTP-2;High;Not Started;;ThingsBoard Server may be spoofed by an attacker and this may lead to unauthorized access to ThingBoards Edge. Consider using a standard authentication mechanism to identify the source process.;;Generated
19;Spoofing the ThingBoards Edge Process;Spoofing;Modèle Réseaux;HTTP-2;High;Not Started;;ThingBoards Edge may be spoofed by an attacker and this may lead to information disclosure by ThingsBoard Server. Consider using a standard authentication mechanism to identify the destination process.;;Generated
31;Data Flow Sniffing;Information Disclosure;Modèle Réseaux;HTTP-2;High;Not Started;;Data flowing across HTTP-2 may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.;;Generated
21;Replay Attacks;Tampering;Modèle Réseaux;HTTP-2;High;Not Started;;Packets or messages without sequence numbers or timestamps can be captured and replayed in a wide variety of ways. Implement or utilize an existing communication protocol that supports anti-replay techniques (investigate sequence numbers before timers) and strong integrity.;;Generated
22;Collision Attacks;Tampering;Modèle Réseaux;HTTP-2;High;Not Started;;Attackers who can send a series of packets or messages may be able to overlap data. For example, packet 1 may be 100 bytes starting at offset 0. Packet 2 may be 100 bytes starting at offset 25. Packet 2 will overwrite 75 bytes of packet 1. Ensure you reassemble data before filtering it, and ensure you explicitly handle these sorts of cases.;;Generated
23;Potential Data Repudiation by ThingBoards Edge;Repudiation;Modèle Réseaux;HTTP-2;High;Not Started;;ThingBoards Edge claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.;;Generated
